Country,Installed_Capacity_MW,Energy_Consumption,Renewable_Energy_Jobs,Public_Awareness,Educational_Level,Number_of_Research_Institutions,Awareness_Group
Australia,258706.0504043635,421279.6755879462,580895.1,4.2891597074086985,4.642250098336248,708.1,Low
Brazil,330144.1326743616,566835.9985344518,521483.4,5.5797128539399194,6.592493735010431,482.6,High
Canada,323265.95542987407,535398.2605996887,414266.4666666667,5.875887071282268,5.893655351616417,538.5333333333333,High
China,356304.87578690745,453162.88578746794,522652.75,5.921528908086155,4.289448840445894,650.0833333333334,High
France,338384.471026781,422343.24079075846,363228.0,4.58001159056973,4.662401962368609,534.0833333333334,Low
Germany,368975.29466393666,508774.3222110256,479474.6666666667,5.298623943024642,4.498463311134972,481.1666666666667,High
India,247812.71746927497,515376.4556906695,624590.6,4.869262902095154,5.865869466795464,400.5,Low
Japan,398155.52026321215,579426.4844592714,602121.25,4.464027484744011,3.557638018829826,454.25,Low
Russia,239558.7572592841,569298.651660625,590620.5555555555,5.1070271261731,4.478373450060885,540.6666666666666,High
USA,203760.4573654338,552852.9850596015,629997.875,4.612230229328444,5.221988953813627,546.125,Low
